generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
1060,794.1,2250.0,150218,0.5149,0.0005,0.1292,0.1491,0.1127,0.0528,1.3843,0.8164,0.0832,0.0000,0.0000,4.5,4,6,4.1,2,6,214,0.6087,117,0.0000
1070,791.7,1700.0,149172,0.4967,0.0009,0.1378,0.1451,0.1034,0.0000,1.3563,0.7295,-0.0438,0.0000,0.0000,4.6,4,6,4.7,2,6,200,0.7101,129,0.0000
1080,687.8,1800.0,139860,0.4247,0.0008,0.1246,0.1105,-0.0330,0.0262,1.3643,0.7395,0.0341,0.0000,0.0000,4.6,4,6,4.8,2,6,208,0.6938,124,0.0000
1090,753.1,1750.0,147940,0.4258,0.0002,0.1065,0.0969,0.0464,0.0412,1.3938,0.7854,0.0959,0.0000,0.0000,4.6,4,6,3.9,2,6,204,0.7777,119,0.0000
1100,779.2,1800.0,146510,0.3900,0.0007,0.1686,0.1448,0.0056,0.0105,1.4045,0.6807,-0.0031,0.0000,0.0000,4.6,4,6,3.1,2,6,205,0.9106,134,0.0000
1110,773.1,1700.0,148100,0.5505,0.0001,0.1292,0.1199,0.1545,0.0197,1.1966,0.7263,0.0190,0.0000,0.0000,4.5,4,6,3.7,2,6,232,0.7457,117,0.0000
1120,719.0,1800.0,139405,0.4727,0.0005,0.1497,0.1562,0.1179,0.0175,0.9754,0.7151,0.0619,0.0000,0.0000,4.5,4,6,4.0,2,6,249,0.6733,120,0.0000
1130,755.5,1800.0,141593,0.5224,0.0003,0.1338,0.1509,0.0817,0.0000,0.9765,0.8232,0.0312,0.0000,0.0000,4.5,4,6,4.0,2,6,246,0.6118,155,0.0000
1140,786.0,1729.0,150013,0.4749,0.0003,0.1619,0.1461,0.0969,0.0397,0.9703,0.7577,-0.0400,0.0000,0.0000,4.5,4,6,3.8,2,6,211,0.7173,101,0.0000
1150,801.8,1800.0,146467,0.5034,0.0003,0.1690,0.1410,0.1133,0.0000,0.9708,0.7509,0.1057,0.0000,0.0000,4.6,4,6,3.9,2,6,222,0.9149,155,0.0000
1160,794.9,2050.0,148500,0.5581,0.0001,0.1873,0.1752,0.2277,0.0479,0.9656,0.7831,0.0376,0.0000,0.0000,4.4,4,6,3.8,2,6,262,0.8564,113,0.0000
1170,834.1,2150.0,148164,0.5741,0.0000,0.1637,0.1557,0.1743,0.0000,0.9686,0.7779,0.0557,0.0000,0.0000,4.3,4,6,3.6,2,6,260,1.0199,134,0.0000
1180,839.2,1950.0,150624,0.5088,0.0014,0.1777,0.1680,0.1018,0.0502,1.0192,0.7352,0.0686,0.0000,0.0000,4.4,4,6,3.5,2,6,190,1.2085,120,0.0000
1190,754.4,1700.0,151147,0.5152,0.0002,0.1872,0.2740,-0.0308,0.0536,1.0071,0.7597,0.1240,0.0000,0.0000,4.4,4,6,3.4,2,6,182,1.2758,116,0.0000
1200,749.6,2100.0,139085,0.5311,0.0004,0.1964,0.1917,0.0873,0.0418,1.0019,0.8016,-0.0118,0.0000,0.0000,4.3,4,6,3.3,2,6,251,1.1649,110,0.0000
1210,789.3,1700.0,152955,0.4957,0.0023,0.2083,0.2088,0.1267,0.0494,0.4588,0.7278,0.0127,0.0000,0.0000,4.4,4,6,2.9,2,6,212,1.1585,101,0.0000
1220,799.0,2050.0,148515,0.5364,0.0003,0.1675,0.1761,0.0610,0.0000,0.4445,0.7664,-0.0016,0.0000,0.0000,4.3,4,6,3.5,2,6,236,1.2697,138,0.0000
